frame_id,condition,conf_thres,model,n_det_clean,n_det_degraded,post_ms_clean,post_ms_degraded
117,rain_heavy,0.25,yolov8n_visdrone_640.onnx,101,40,4.7508,2.3241
118,rain_heavy,0.25,yolov8n_visdrone_640.onnx,101,44,4.9364,2.5768
119,rain_heavy,0.25,yolov8n_visdrone_640.onnx,101,57,4.7173,2.2428
120,rain_heavy,0.25,yolov8n_visdrone_640.onnx,30,0,2.3493,0.5909
121,rain_heavy,0.25,yolov8n_visdrone_640.onnx,31,0,1.9748,0.6085
122,rain_heavy,0.25,yolov8n_visdrone_640.onnx,30,0,1.2999,0.4317
123,rain_heavy,0.25,yolov8n_visdrone_640.onnx,30,2,1.3675,0.9524
124,rain_heavy,0.25,yolov8n_visdrone_640.onnx,30,1,1.5916,0.5784
125,rain_heavy,0.25,yolov8n_visdrone_640.onnx,30,0,1.3156,0.6558
126,rain_heavy,0.25,yolov8n_visdrone_640.onnx,33,0,1.3436,0.408
127,rain_heavy,0.25,yolov8n_visdrone_640.onnx,33,1,2.1393,0.8658
128,rain_heavy,0.25,yolov8n_visdrone_640.onnx,34,1,2.2799,0.962
129,rain_heavy,0.25,yolov8n_visdrone_640.onnx,31,1,1.3871,0.5854
130,rain_heavy,0.25,yolov8n_visdrone_640.onnx,32,2,2.3779,0.679
131,rain_heavy,0.25,yolov8n_visdrone_640.onnx,32,3,2.1349,0.698
132,rain_heavy,0.25,yolov8n_visdrone_640.onnx,33,0,1.7867,0.627
133,rain_heavy,0.25,yolov8n_visdrone_640.onnx,27,0,1.8291,0.6483
134,rain_heavy,0.25,yolov8n_visdrone_640.onnx,27,0,1.9126,0.6869
135,rain_heavy,0.25,yolov8n_visdrone_640.onnx,30,0,2.3136,0.4222
136,rain_heavy,0.25,yolov8n_visdrone_640.onnx,29,1,2.0377,0.8848
137,rain_heavy,0.25,yolov8n_visdrone_640.onnx,30,0,1.891,0.4316
138,rain_heavy,0.25,yolov8n_visdrone_640.onnx,28,0,1.9557,0.5472
139,rain_heavy,0.25,yolov8n_visdrone_640.onnx,29,0,1.7848,0.6266
140,rain_heavy,0.25,yolov8n_visdrone_640.onnx,28,0,1.9784,0.6694
141,rain_heavy,0.25,yolov8n_visdrone_640.onnx,29,1,1.3657,0.9466
142,rain_heavy,0.25,yolov8n_visdrone_640.onnx,33,1,1.4045,0.6343
143,rain_heavy,0.25,yolov8n_visdrone_640.onnx,30,0,2.0048,0.6208
144,rain_heavy,0.25,yolov8n_visdrone_640.onnx,30,1,1.8446,0.6514
145,rain_heavy,0.25,yolov8n_visdrone_640.onnx,29,2,1.9452,1.0635
146,rain_heavy,0.25,yolov8n_visdrone_640.onnx,30,0,1.3727,0.726
147,rain_heavy,0.25,yolov8n_visdrone_640.onnx,31,1,2.0739,1.1356
148,rain_heavy,0.25,yolov8n_visdrone_640.onnx,30,1,2.2854,0.9062
149,rain_heavy,0.25,yolov8n_visdrone_640.onnx,31,3,3.8586,0.9858
150,rain_heavy,0.25,yolov8n_visdrone_640.onnx,29,1,2.0119,0.7127
151,rain_heavy,0.25,yolov8n_visdrone_640.onnx,28,0,1.9261,0.6278
152,rain_heavy,0.25,yolov8n_visdrone_640.onnx,28,0,2.1837,0.5275
153,rain_heavy,0.25,yolov8n_visdrone_640.onnx,27,0,1.9527,0.6101
154,rain_heavy,0.25,yolov8n_visdrone_640.onnx,28,1,2.0174,0.9519
155,rain_heavy,0.25,yolov8n_visdrone_640.onnx,27,2,1.9192,0.6356
156,rain_heavy,0.25,yolov8n_visdrone_640.onnx,30,3,2.1625,1.0288
157,rain_heavy,0.25,yolov8n_visdrone_640.onnx,27,0,1.8448,0.454
158,rain_heavy,0.25,yolov8n_visdrone_640.onnx,24,0,1.9984,0.4345
159,rain_heavy,0.25,yolov8n_visdrone_640.onnx,26,0,1.9807,0.6396
160,rain_heavy,0.25,yolov8n_visdrone_640.onnx,27,0,1.4795,0.7319
161,rain_heavy,0.25,yolov8n_visdrone_640.onnx,27,4,1.2694,0.9788
162,rain_heavy,0.25,yolov8n_visdrone_640.onnx,30,2,2.2135,0.9149
163,rain_heavy,0.25,yolov8n_visdrone_640.onnx,28,0,1.6612,0.7417
164,rain_heavy,0.25,yolov8n_visdrone_640.onnx,24,0,1.744,0.4134
165,rain_heavy,0.25,yolov8n_visdrone_640.onnx,25,3,2.5649,1.0368
166,rain_heavy,0.25,yolov8n_visdrone_640.onnx,24,0,1.8194,0.4454
167,rain_heavy,0.25,yolov8n_visdrone_640.onnx,25,0,2.5069,0.4421
168,rain_heavy,0.25,yolov8n_visdrone_640.onnx,23,1,3.5742,0.8923
169,rain_heavy,0.25,yolov8n_visdrone_640.onnx,21,0,1.3909,0.6503
170,rain_heavy,0.25,yolov8n_visdrone_640.onnx,23,0,1.4846,0.6993
171,rain_heavy,0.25,yolov8n_visdrone_640.onnx,22,0,1.4802,0.6175
172,rain_heavy,0.25,yolov8n_visdrone_640.onnx,22,1,1.2258,0.6763
